,Cell type,Gene,Source
0,CD4+/CD45RA+/CD25- Naive T,CD3D,Levin2018
1,CD4+/CD45RA+/CD25- Naive T,CD3E,Levin2018
2,CD4+/CD45RA+/CD25- Naive T,CD3G,Levin2018
3,CD4+/CD45RA+/CD25- Naive T,TRAC,Levin2018
4,CD4+/CD45RA+/CD25- Naive T,CD4,Levin2018
5,CD4+/CD45RA+/CD25- Naive T,TCF7,Levin2018
6,CD4+/CD45RA+/CD25- Naive T,CD27,Levin2018
7,CD4+/CD45RA+/CD25- Naive T,IL7R,Levin2018
8,CD4+/CD45RA+/CD25- Naive T,CD8A,Levin2018
9,CD4+/CD45RA+/CD25- Naive T,CD8B,Levin2018
10,CD4+/CD45RA+/CD25- Naive T,GNLY,Levin2018
11,CD4+/CD45RA+/CD25- Naive T,NKG7,Levin2018
12,CD4+/CD45RA+/CD25- Naive T,CST7,Levin2018
13,CD8+ Cytotoxic T,CD3D,Levin2018
14,CD8+ Cytotoxic T,CD3E,Levin2018
15,CD8+ Cytotoxic T,CD3G,Levin2018
16,CD8+ Cytotoxic T,TRAC,Levin2018
17,CD8+ Cytotoxic T,CD8A,Levin2018
18,CD8+ Cytotoxic T,CD8B,Levin2018
19,CD8+ Cytotoxic T,GZMK,Levin2018
20,CD8+ Cytotoxic T,CCL5,Levin2018
21,CD8+ Cytotoxic T,NKG7,Levin2018
22,CD8+ Cytotoxic T,CD4,Levin2018
23,CD8+ Cytotoxic T,FCER1G,Levin2018
24,CD19+ B,CD19,Levin2018
25,CD19+ B,MS4A1,Levin2018
26,CD19+ B,CD79A,Levin2018
27,CD19+ B,CD79B,Levin2018
28,CD19+ B,MZB1,Levin2018
29,CD19+ B,IGHD,Levin2018
30,CD19+ B,IGHM,Levin2018
31,CD56+ NK,NCAM1,Levin2018
32,CD56+ NK,NKG7,Levin2018
33,CD56+ NK,KLRB1,Levin2018
34,CD56+ NK,KLRD1,Levin2018
35,CD56+ NK,KLRF1,Levin2018
36,CD56+ NK,KLRC1,Levin2018
37,CD56+ NK,KLRC2,Levin2018
38,CD56+ NK,KLRC3,Levin2018
39,CD56+ NK,KLRC4,Levin2018
40,CD56+ NK,CD3D,Levin2018
41,CD56+ NK,CD3E,Levin2018
42,CD56+ NK,CD3G,Levin2018
43,CD56+ NK,CD14,Levin2018
44,CD56+ NK,FCGR3A,Levin2018
45,CD56+ NK,FCGR3B,Levin2018
46,CD56+ NK,ITGAL,Levin2018
47,CD56+ NK,ITGAM,Levin2018
48,CD56+ NK,FCER1G,Levin2018
49,CD56+ NK,TRAC,Levin2018
50,CD14+ Monocyte,VCAN,Levin2018
51,CD14+ Monocyte,FCN1,Levin2018
52,CD14+ Monocyte,S100A8,Levin2018
53,CD14+ Monocyte,S100A9,Levin2018
54,CD14+ Monocyte,CD14,Levin2018
55,CD14+ Monocyte,ITGAL,Levin2018
56,CD14+ Monocyte,ITGAM,Levin2018
57,CD14+ Monocyte,CSF3R,Levin2018
58,CD14+ Monocyte,CSF1R,Levin2018
59,CD14+ Monocyte,CX3CR1,Levin2018
60,CD14+ Monocyte,FCGR3A,Levin2018
61,CD14+ Monocyte,FCGR3B,Levin2018
62,CD14+ Monocyte,TYROBP,Levin2018
63,CD14+ Monocyte,LYZ,Levin2018
64,CD14+ Monocyte,S100A12,Levin2018
65,CD14+ Monocyte,CD3D,Levin2018
66,CD14+ Monocyte,CD3E,Levin2018
67,CD14+ Monocyte,CD3G,Levin2018
